epsilon,epsilon_clean,sigma_MPa
-4.60631046553129e-05,0,0
9.70028491714778e-05,2.27848113957684e-05,3.41772151898734
0.000129094930977693,4.5569660867119e-05,6.83544303797468
9.72287170870955e-05,6.83547387919638e-05,10.253164556962
5.89445161667359e-06,9.1140540152873e-05,13.6708860759494
6.91511731455254e-05,0.000113928016839405,17.0886075949367
2.5682711480352e-05,0.000136718729950436,20.506329113924
0.00023802544519438,0.000159515002096489,23.9240506329114
0.000197433700151162,0.000182320069702062,27.3417721518987
0.00026976680391036,0.000205138235307961,30.7594936708861
0.000177354242066355,0.000227975019873624,34.1772151898734
0.000408680838924542,0.000250837315079454,37.5949367088608
0.000429226390614774,0.00027373353562915,41.0126582278481
0.000286076069208937,0.000296673771552032,44.4303797468354
0.00022462427989594,0.000319669940505371,47.8481012658228
0.000284463771662779,0.000342735940076722,51.2658227848101
0.000367100416099834,0.00036588780008625,54.6835443037975
0.000384047472377899,0.000389143834889061,58.1012658227848
0.000355955236984653,0.000412524795677531,61.5189873417722
0.000462237411363421,0.000436054022783634,64.9367088607595
0.000424750281446432,0.000459757597981272,68.3544303797468
0.00037396290324083,0.000483664496788608,71.7721518987342
0.000483424654873927,0.000507806740770388,75.1898734177215
0.000526675067574945,0.000532219549840279,78.6075949367089
0.000642554645143738,0.000556941494563189,82.0253164556962
0.000513436600919098,0.000582014648457607,85.4430379746835
0.000615341018388889,0.000607484740297921,88.8607594936709
0.000656833618298212,0.000633401306416757,92.2784810126582
0.000477234927319614,0.000659817843007303,95.6962025316456
0.00072136447837266,0.00068679195842564,99.1139240506329
0.000632356803719794,0.00071438552549307,102.53164556962
0.00071473852107399,0.000742664833798448,105.949367088608
0.000983828399230473,0.000771700742000509,109.367088607595
0.000933283508336583,0.000801568830130199,112.784810126582
0.000903125439725594,0.000832349551893001,116.20253164557
0.000850470855184368,0.000864128386971272,119.620253164557
0.000823591859710849,0.000896995993326561,123.037974683544
0.000965139634216809,0.00093104835950195,126.455696202532
0.000947147735890617,0.000966386956924375,129.873417721519
0.000890609165732991,0.00100311889220696,133.291139240506
0.00103949167587913,0.00104135705945134,136.708860759494
0.00100590441426043,0.00108122029255,140.126582278481
0.00121771136509875,0.00112283351748861,143.544303797468
0.00112660678651386,0.00116632790464831,146.962025316456
0.00126871508985266,0.00121184102110812,150.379746835443
0.00121414757345502,0.00125951698294718,153.79746835443
0.00131300764260794,0.00130950660754714,157.215189873418
0.00137523713481484,0.00136196756589448,160.632911392405
0.00138958596748751,0.00141706453488282,164.050632911392
0.00165860893553072,0.00147496934961526,167.46835443038
0.00160436023473577,0.00153586115570671,170.886075949367
0.00170230391101568,0.00159992656158621,174.303797468354
0.00184686855935066,0.0016673597907993,177.721518987342
0.00177154362379404,0.00173836283431028,181.139240506329
0.00190260430781641,0.00181314560280459,184.556962025316
0.00177452469059229,0.00189192607899113,187.974683544304
0.00189290964323746,0.00197493046990459,191.392405063291
0.00183398452426888,0.00206239335920776,194.810126582278
0.00208586377495371,0.00215455785949389,198.227848101266
0.0022130776587999,0.002251675764589,201.645569620253
0.00229097079025714,0.00235400770185419,205.063291139241
0.00255722004710934,0.00246182328448802,208.481012658228
0.00250237126347042,0.00257540126382882,211.898734177215
0.00263009542662198,0.00269502968165697,215.316455696203
0.00282939101481432,0.0028210060224973,218.73417721519
0.00288092633164558,0.00295363736592139,222.151898734177
0.00314122567160137,0.0030932405388499,225.569620253165
0.00321040328296689,0.00324014226785487,228.987341772152
0.00351199782288498,0.00339467933146212,232.405063291139
0.00362061569826627,0.00355719871245351,235.822784810127
0.00366704919428482,0.0037280577501693,239.240506329114
0.00397649279892308,0.00390762429281049,242.658227848101
0.00417994240690332,0.0040962768497411,246.075949367089
0.00437481329064896,0.00429440474379059,249.493670886076
0.00430874710682387,0.00450240826355608,252.911392405063
0.0046767374359811,0.00472069881570477,256.329113924051
0.0047794393066184,0.00494969907727621,259.746835443038
0.00533346263625462,0.00518984314798466,263.164556962025
0.00547227390444814,0.00544157670252142,266.582278481013
0.00568367673533872,0.00570535714285714,270
